ROI Label,input_roi,output_roi,mapped_indices
1,17Networks_LH_DorsAttnA_TempOcc_2,7Networks_LH_Vis_1,60
2,17Networks_LH_DefaultC_PHC_2,7Networks_LH_Vis_2,192
3,17Networks_LH_VisCent_ExStr_1,7Networks_LH_Vis_3,0
4,17Networks_LH_VisPeri_ExStrInf_1,7Networks_LH_Vis_4,12
5,17Networks_LH_VisCent_ExStr_2,7Networks_LH_Vis_5,1
6,17Networks_LH_VisCent_ExStr_3,7Networks_LH_Vis_6,2
7,17Networks_LH_DefaultC_PHC_3,7Networks_LH_Vis_7,193
8,17Networks_LH_DorsAttnA_TempOcc_4,7Networks_LH_Vis_8,62
9,17Networks_LH_VisCent_ExStr_4,7Networks_LH_Vis_9,3
10,17Networks_LH_VisPeri_ExStrInf_2,7Networks_LH_Vis_10,13
11,17Networks_LH_VisPeri_ExStrInf_3,7Networks_LH_Vis_11,14
12,17Networks_LH_VisCent_ExStr_5,7Networks_LH_Vis_12,4
13,17Networks_LH_VisPeri_ExStrInf_4,7Networks_LH_Vis_13,15
14,17Networks_LH_VisCent_ExStr_6,7Networks_LH_Vis_14,5
15,17Networks_LH_VisCent_Striate_1,7Networks_LH_Vis_15,6
16,17Networks_LH_VisPeri_ExStrInf_5,7Networks_LH_Vis_16,16
17,17Networks_LH_VisCent_ExStr_7,7Networks_LH_Vis_17,7
18,17Networks_LH_VisPeri_StriCal_1,7Networks_LH_Vis_18,17
19,17Networks_LH_VisCent_ExStr_8,7Networks_LH_Vis_19,8
20,17Networks_LH_DefaultC_Rsp_1,7Networks_LH_Vis_20,188
21,17Networks_LH_VisPeri_StriCal_2,7Networks_LH_Vis_21,18
22,17Networks_LH_VisPeri_ExStrSup_1,7Networks_LH_Vis_22,19
23,17Networks_LH_VisCent_ExStr_9,7Networks_LH_Vis_23,9
24,17Networks_LH_VisCent_ExStr_10,7Networks_LH_Vis_24,10
25,17Networks_LH_VisPeri_ExStrSup_2,7Networks_LH_Vis_25,20
26,17Networks_LH_VisPeri_ExStrSup_3,7Networks_LH_Vis_26,21
27,17Networks_LH_VisCent_ExStr_11,7Networks_LH_Vis_27,11
28,17Networks_LH_DorsAttnA_ParOcc_2,7Networks_LH_Vis_28,64
29,17Networks_LH_VisPeri_ExStrSup_4,7Networks_LH_Vis_29,22
30,17Networks_LH_VisPeri_ExStrSup_5,7Networks_LH_Vis_30,23
31,17Networks_LH_DorsAttnA_SPL_2,7Networks_LH_Vis_31,66
32,17Networks_LH_SomMotB_Aud_1,7Networks_LH_SomMot_1,43
33,17Networks_LH_SomMotB_Aud_2,7Networks_LH_SomMot_2,44
34,17Networks_LH_SomMotB_Ins_1,7Networks_LH_SomMot_3,45
35,17Networks_LH_SomMotB_S2_1,7Networks_LH_SomMot_4,46
36,17Networks_LH_SomMotB_S2_2,7Networks_LH_SomMot_5,47
37,17Networks_LH_SomMotB_Aud_3,7Networks_LH_SomMot_6,48
38,17Networks_LH_SomMotB_Aud_4,7Networks_LH_SomMot_7,49
39,17Networks_LH_SomMotB_S2_3,7Networks_LH_SomMot_8,50
40,17Networks_LH_SomMotB_S2_4,7Networks_LH_SomMot_9,51
41,17Networks_LH_SomMotB_S2_5,7Networks_LH_SomMot_10,52
42,17Networks_LH_SomMotB_S2_6,7Networks_LH_SomMot_11,53
43,17Networks_LH_SomMotB_Cent_1,7Networks_LH_SomMot_12,54
44,17Networks_LH_SomMotB_Cent_2,7Networks_LH_SomMot_13,55
45,17Networks_LH_SomMotB_Cent_3,7Networks_LH_SomMot_14,56
46,17Networks_LH_DorsAttnB_PostC_2,7Networks_LH_SomMot_15,73
47,17Networks_LH_SomMotB_Cent_4,7Networks_LH_SomMot_16,57
48,17Networks_LH_SomMotB_Cent_5,7Networks_LH_SomMot_17,58
49,17Networks_LH_SomMotA_1,7Networks_LH_SomMot_18,24
50,17Networks_LH_SomMotA_2,7Networks_LH_SomMot_19,25
51,17Networks_LH_SomMotA_3,7Networks_LH_SomMot_20,26
52,17Networks_LH_SomMotA_4,7Networks_LH_SomMot_21,27
53,17Networks_LH_SomMotA_5,7Networks_LH_SomMot_22,28
54,17Networks_LH_SomMotA_6,7Networks_LH_SomMot_23,29
55,17Networks_LH_SomMotA_7,7Networks_LH_SomMot_24,30
56,17Networks_LH_SomMotA_8,7Networks_LH_SomMot_25,31
57,17Networks_LH_SomMotA_9,7Networks_LH_SomMot_26,32
58,17Networks_LH_DorsAttnB_PostC_6,7Networks_LH_SomMot_27,77
59,17Networks_LH_SomMotA_10,7Networks_LH_SomMot_28,33
60,17Networks_LH_SomMotA_11,7Networks_LH_SomMot_29,34
